company,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbs,fiber,sugar,protein,weight_watcher_points
McDonald’s,Hamburger,250.0,80.0,9.0,3.5,0.5,25.0,520.0,31.0,2.0,6.0,12.0,247.5
McDonald’s,Cheeseburger,300.0,110.0,12.0,6.0,0.5,40.0,750.0,33.0,2.0,6.0,15.0,297.0
McDonald’s,Double Cheeseburger,440.0,210.0,23.0,11.0,1.5,80.0,1150.0,34.0,2.0,7.0,25.0,433.0
McDonald’s,McDouble,390.0,170.0,19.0,8.0,1.0,65.0,920.0,33.0,2.0,7.0,22.0,383.0
McDonald’s, Quarter Pounder® with Cheese,510.0,230.0,26.0,12.0,1.5,90.0,1190.0,40.0,3.0,9.0,29.0,502.0
McDonald’s,Double Quarter Pounder® with Cheese,740.0,380.0,42.0,19.0,2.5,155.0,1380.0,40.0,3.0,9.0,48.0,720.0
McDonald’s,Big Mac®,540.0,260.0,29.0,10.0,1.5,75.0,1040.0,45.0,3.0,9.0,25.0,534.0
McDonald’s,Big N’ Tasty®,460.0,220.0,24.0,8.0,1.5,70.0,720.0,37.0,3.0,8.0,24.0,452.0
McDonald’s,Big N’ Tasty® with Cheese,510.0,250.0,28.0,11.0,1.5,85.0,960.0,38.0,3.0,8.0,27.0,502.0
McDonald’s,Angus Bacon & Cheese,790.0,350.0,39.0,17.0,2.0,145.0,2070.0,63.0,4.0,13.0,45.0,775.0
McDonald’s,Angus Deluxe,750.0,350.0,39.0,16.0,2.0,135.0,1700.0,61.0,4.0,10.0,40.0,736.0
McDonald’s,Angus Mushroom & Swiss,770.0,360.0,40.0,17.0,2.0,135.0,1170.0,59.0,4.0,8.0,44.0,751.0
McDonald’s,Filet-O-Fish®,380.0,170.0,18.0,3.5,0.0,40.0,640.0,38.0,2.0,5.0,15.0,373.5
McDonald’s,McChicken ®,360.0,150.0,16.0,3.0,0.0,35.0,830.0,40.0,2.0,5.0,14.0,354.0
McDonald’s,McRib ®,500.0,240.0,26.0,10.0,0.0,70.0,980.0,44.0,3.0,11.0,22.0,499.0
McDonald’s,Premium Grilled Chicken Classic Sandwich,360.0,80.0,9.0,2.0,0.0,65.0,820.0,41.0,4.0,8.0,27.0,343.0
McDonald’s,Premium Crispy Chicken Classic Sandwich,510.0,200.0,22.0,3.5,0.0,45.0,990.0,56.0,3.0,10.0,24.0,499.5
McDonald’s,Premium Grilled Chicken Club Sandwich,460.0,150.0,17.0,6.0,0.0,90.0,1040.0,43.0,4.0,9.0,35.0,440.0
McDonald’s,Premium Crispy Chicken Club Sandwich,620.0,260.0,29.0,7.0,0.0,70.0,1200.0,57.0,3.0,11.0,31.0,607.0
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380.0,90.0,10.0,3.0,0.0,75.0,1000.0,41.0,4.0,9.0,31.0,361.0
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540.0,210.0,23.0,4.5,0.0,55.0,1160.0,56.0,3.0,11.0,27.0,528.5
McDonald’s,Southern Style Crispy Chicken Sandwich,400.0,150.0,17.0,3.0,0.0,45.0,1030.0,39.0,1.0,6.0,24.0,385.0
McDonald’s,Ranch Snack Wrap® (Crispy),340.0,150.0,17.0,4.5,0.0,30.0,810.0,33.0,1.0,2.0,14.0,332.5
McDonald’s,Ranch Snack Wrap® (Grilled),270.0,90.0,10.0,4.0,0.0,45.0,830.0,26.0,1.0,2.0,18.0,258.0
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330.0,140.0,16.0,4.5,0.0,30.0,780.0,34.0,1.0,4.0,14.0,324.5
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260.0,80.0,9.0,3.5,0.0,45.0,800.0,27.0,1.0,4.0,18.0,249.5
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330.0,140.0,15.0,4.5,0.0,30.0,810.0,35.0,1.0,4.0,14.0,324.5
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260.0,80.0,9.0,3.5,0.0,45.0,830.0,28.0,1.0,5.0,18.0,250.5
McDonald’s,Angus Bacon & Cheese Snack Wrap,390.0,190.0,21.0,9.0,1.0,75.0,1080.0,28.0,1.0,4.0,21.0,382.0
